,Unnamed: 0,Zip Code,City,Street,Lat,Lon,TruliaEst,Beds,Baths,Sqft,Price_Per_Sqft,YearBuilt,Cluster
0,1,95003,0,6107 Abbey Rd,36.987129,-121.934517,592074,2,2.5,1190,203,1981,3
1,3,95003,0,6109 Abbey Rd,36.98724,-121.934631,645689,2,2.5,1190,458,1981,3
2,4,95003,0,6111 Abbey Rd,36.98704,-121.93477,590998,2,2.5,1190,141,1981,3
3,5,95003,0,6113 Abbey Rd,36.98706,-121.93352,1137642,3,2.5,2476,143,1989,5
4,7,95003,0,6115 Abbey Rd,36.98718,-121.93479,567378,2,1.5,1044,358,1981,3
5,12,95003,0,6116 Abbey Rd,36.96976,-121.88485,771092,3,2,1226,186,1984,3
6,13,95003,0,6117 Abbey Rd,36.96992,-121.88458,1173832,4,3,2196,124,1965,5
7,14,95003,0,6119 Abbey Rd,36.96988,-121.88394,764084,2,2,1271,279,1938,3
8,18,95003,0,6120 Abbey Rd,36.98062,-121.88619,752121,3,2,1251,181,1963,3
9,22,95003,0,6121 Abbey Rd,36.98016,-121.88602,828219,4,2,1527,356,1963,3
10,27,95003,0,6125 Abbey Rd,36.9802,-121.8844,1104524,3,2,2208,165,1975,5
11,34,95003,0,130 Acacia Woods Ct,36.97222,-121.87041,515380,3,2,1208,186,1976,3
12,35,95003,0,509 Alta Dr,36.97204,-121.87031,528155,3,2,1637,323,2003,3
13,38,95003,0,511 Alta Dr,36.97176,-121.87007,509365,2,2,1452,220,1977,3
14,40,95003,0,512 Alta Dr,36.989442,-121.859223,766865,3,2,1839,316,1959,3
15,44,95003,0,514 Alta Dr,36.989185,-121.856362,1212160,3,3,3042,345,1973,5
16,46,95003,0,180 Alta Mira Ct,36.966822,-121.896551,1033931,3,2,1563,399,1963,0
17,47,95003,0,190 Alta Mira Ct,36.966881,-121.896491,1194074,4,2,1867,339,1964,5
18,50,95003,0,121 Alta Verdi Dr,36.967074,-121.896562,1211570,4,2.5,2143,201,1997,5
19,51,95003,0,124 Alta Verdi Dr,36.966999,-121.896372,1108913,3,1.5,1872,294,1966,5
20,53,95003,0,131 Alta Verdi Dr,36.967029,-121.896342,1007842,3,2,1499,364,1973,0
21,54,95003,0,134 Alta Verdi Dr,36.967163,-121.896472,940933,3,2,1248,197,1964,0
22,59,95003,0,141 Alta Verdi Dr,36.972059,-121.897504,894160,3,2,1392,197,1967,0
23,60,95003,0,144 Alta Verdi Dr,36.972059,-121.897504,934110,2,2,1364,495,1968,0
24,62,95003,0,156 Alta Verdi Dr,36.972059,-121.897504,837781,3,2,1146,330,1966,3
25,63,95003,0,182 Alta Verdi Dr,36.972059,-121.897504,1020609,4,2,1644,462,1955,0
26,69,95003,0,227 Alta Verdi Dr,36.972059,-121.897504,924558,3,2,1504,310,1986,0
27,74,95003,0,230 Alta Verdi Dr,36.972059,-121.897504,1074686,3,2.5,1636,249,1963,5
28,81,95003,0,100 Angora Ln,36.972059,-121.897504,1050120,2,2,1605,169,1980,0
29,82,95003,0,102 Angora Ln,36.972059,-121.897504,971326,3,2,1594,464,1979,0
30,84,95003,0,104 Angora Ln,36.972059,-121.897504,852517,3,2,1100,460,1962,0
31,85,95003,0,106 Angora Ln,36.972059,-121.897504,883810,3,2,1306,206,1967,0
32,86,95003,0,162 Anita Ave,36.972059,-121.897504,1065345,3,2,1880,221,1969,0
33,87,95003,0,163 Anita Ave,36.972059,-121.897504,1025993,3,2,2385,130,1964,0
34,89,95003,0,164 Anita Ave,36.972059,-121.897504,1233134,3,3,2221,388,2000,5
35,92,95003,0,165 Anita Ave,37.00258,-121.90674,1444304,4,3.5,2831,371,1978,1
36,95,95003,0,166 Anita Ave,36.98344,-121.9121,665591,3,2.5,1362,279,1986,3
37,96,95003,0,167 Anita Ave,36.98364,-121.91194,789631,3,2.5,1362,136,1987,3
38,98,95003,0,168 Anita Ave,36.98399,-121.91166,862789,3,2.5,1699,356,1987,0
39,100,95003,0,169 Anita Ave,36.98263,-121.88697,851172,3,2,1698,108,1963,0
40,105,95003,0,110 Apple Ln,36.97969,-121.90639,887747,3,2.5,1785,297,1999,0
41,107,95003,0,125 Apple Ln,36.97974,-121.90635,887763,3,2.5,1785,207,1999,0
42,108,95003,0,127 Apple Ln,36.98048,-121.90641,1193693,3,2.5,2498,253,1997,5
43,110,95003,0,220 Apple Ln,36.98001,-121.90615,887861,3,2.5,1785,289,1999,0
44,111,95003,0,300 Apple Ln,36.98016,-121.90618,889601,3,2.5,1785,202,1999,0
45,112,95003,0,201 Appleton Dr,36.98019,-121.90615,887876,3,2.5,1785,196,1998,0
46,115,95003,0,202 Appleton Dr,36.97778,-121.89323,908453,3,2,1688,421,1965,0
47,116,95003,0,206 Appleton Dr,36.9774,-121.89321,962420,4,2.5,2077,128,1973,0
48,120,95003,0,209 Appleton Dr,37.03426,-121.86378,1392489,2,1.5,2589,232,1980,1
49,123,95003,0,212 Appleton Dr,36.98261,-121.90992,1173434,3,2,2296,172,1963,5
50,124,95003,0,213 Appleton Dr,36.98237,-121.90948,994732,3,2.5,1866,445,1961,0
51,131,95003,0,214 Appleton Dr,36.98143,-121.9081,1034849,3,2,2024,383,1958,0
52,132,95003,0,215 Appleton Dr,36.98125,-121.90848,783899,2,2,1334,225,1962,3
53,133,95003,0,216 Appleton Dr,36.98776,-121.93113,654536,2,2,1385,412,1987,3
54,145,95003,0,219 Appleton Dr,36.98812,-121.93164,636976,2,2,1233,202,1984,3
55,146,95003,0,221 Appleton Dr,36.98816,-121.93194,665924,3,2.5,1725,256,1984,3
56,147,95003,0,121 Aptos Beach Dr,36.98822,-121.93192,665728,3,2.5,1725,266,1985,3
57,148,95003,0,126 Aptos Beach Dr,36.98825,-121.93159,635501,2,2,1233,353,1984,3
58,155,95003,0,127 Aptos Beach Dr,36.98865,-121.93182,666942,3,2.5,1725,177,1984,3
59,157,95003,0,200 Aptos Beach Dr,36.98896,-121.93167,646068,2,2,1233,418,1984,3
60,159,95003,0,203 Aptos Beach Dr,36.9891,-121.93171,666593,3,2.5,1725,252,1984,3
61,161,95003,0,204 Aptos Beach Dr,36.98923,-121.93171,666584,3,2.5,1725,253,1984,3
62,162,95003,0,206 Aptos Beach Dr,36.9893,-121.93169,646668,2,2,1230,175,1984,3
63,165,95003,0,210 Aptos Beach Dr,36.98945,-121.93138,670576,2,2.5,1754,302,1984,3
64,167,95003,0,213 Aptos Beach Dr,36.98956,-121.93168,670339,3,2.5,1605,293,1982,3
65,169,95003,0,219 Aptos Beach Dr,36.98963,-121.93167,670564,3,2.5,1605,148,1982,3
66,170,95003,0,220 Aptos Beach Dr,36.98964,-121.93133,687000,2,3,1754,392,1982,3
67,171,95003,0,222 Aptos Beach Dr,36.98969,-121.93165,670594,3,2.5,1605,327,1982,3
68,172,95003,0,223 Aptos Beach Dr,36.98971,-121.93134,643635,2,2,1084,112,1982,3
69,178,95003,0,225 Aptos Beach Dr,36.98987,-121.93127,670373,3,2.5,1605,327,1982,3
70,180,95003,0,227 Aptos Beach Dr,36.98984,-121.9312,670610,3,2.5,1605,237,1982,3
71,183,95003,0,229 Aptos Beach Dr,36.98981,-121.93104,670429,3,2.5,1605,355,1982,3
72,185,95003,0,231 Aptos Beach Dr,36.98979,-121.93096,671034,3,2.5,1605,264,1982,3
73,187,95003,0,232 Aptos Beach Dr,36.95839,-121.87511,1367978,4,2,2829,134,1982,1
74,188,95003,0,235 Aptos Beach Dr,36.95869,-121.87496,1367069,3,2.5,2991,234,1981,1
75,189,95003,0,237 Aptos Beach Dr,36.95906,-121.87475,1395196,4,3,3028,594,1981,1
76,190,95003,0,241 Aptos Beach Dr,36.96718,-121.89179,1036752,3,2,1594,210,1962,0
77,191,95003,0,244 Aptos Beach Dr,36.96681,-121.89181,1121657,3,2,2091,383,1979,5
78,199,95003,0,247 Aptos Beach Dr,36.96712,-121.89096,918318,3,2,1304,161,1958,0
79,200,95003,0,248 Aptos Beach Dr,36.96685,-121.89045,1222759,3,2,2370,194,1975,5
80,206,95003,0,249 Aptos Beach Dr,36.96775,-121.89064,913553,3,2,1320,189,1963,0
81,207,95003,0,250 Aptos Beach Dr,36.96788,-121.89057,1050870,3,2,1790,313,1968,0
82,212,95003,0,252 Aptos Beach Dr,36.96826,-121.89038,914841,3,2,1451,482,1961,0
83,213,95003,0,253 Aptos Beach Dr,36.96811,-121.88977,969217,3,2,1695,342,1978,0
84,214,95003,0,257 Aptos Beach Dr,36.96839,-121.89032,922893,3,2,1508,332,1970,0
85,220,95003,0,259 Aptos Beach Dr,36.9877,-121.93074,835150,3,2.5,1634,404,2004,3
86,226,95003,0,261 Aptos Beach Dr,36.98844,-121.93057,928492,3,2.5,1836,389,2004,0
87,229,95003,0,265 Aptos Beach Dr,36.98982,-121.93045,681604,3,2.5,1558,417,2009,3
88,230,95003,0,268 Aptos Beach Dr,36.99013,-121.93037,775559,3,2.5,1394,179,2009,3
89,231,95003,0,269 Aptos Beach Dr,36.98982,-121.93037,675806,2,2.5,1104,199,2009,3
90,232,95003,0,484 Aptos Creek Rd,36.9901,-121.93023,872981,3,2.5,1525,419,2009,0
91,236,95003,0,505 Aptos Creek Rd,36.99005,-121.93001,782710,3,2.5,1377,181,2009,3
92,247,95003,0,1695 Aptos Creek Rd,36.9894,-121.93008,668719,2,2.5,1354,290,2012,3
93,248,95003,0,3050 Aptos Hill Ln,36.98954,-121.93046,886534,3,2.5,2025,259,2013,0
94,249,95003,0,3052 Aptos Hill Ln,36.98934,-121.93009,674360,3,2.5,1394,352,2012,3
95,251,95003,0,3054 Aptos Hill Ln,36.98922,-121.93009,886325,3,2.5,1991,272,2012,0
96,252,95003,0,3058 Aptos Hill Ln,36.98938,-121.93046,668721,2,2.5,1354,291,2013,3
97,254,95003,0,3062 Aptos Hill Ln,36.98932,-121.93048,911736,3,2.5,1866,199,2013,0
98,256,95003,0,3064 Aptos Hill Ln,36.98921,-121.93049,865078,3,2.5,1866,280,2013,0
99,259,95003,0,3066 Aptos Hill Ln,36.9888,-121.93013,883866,3,2.5,1991,271,2013,0
100,260,95003,0,146 Aptos Hts,36.98909,-121.93051,886001,3,2.5,2025,251,2013,0
101,261,95003,0,230 Aptos Hts,36.98875,-121.9302,739862,2,2.5,1853,285,2013,3
102,262,95003,0,265 Aptos Hts,36.98871,-121.93023,657238,2,2,1311,309,2013,3
103,263,95003,0,290 Aptos Hts,36.98866,-121.93028,856504,3,2.5,1843,288,2013,0
104,265,95003,0,3357 Aptos Rancho Rd,36.98862,-121.93047,884272,3,2.5,2025,268,2013,0
