,Unnamed: 0,Unnamed: 0.1,State,State_Abr,Zip Code,County,City,Street,Lat,Lon,Features,Trulia Est,History Events,Property Events,Beds,Baths,Sqft,Price_Per_Sqft,Year Built
0,0,0,California,CA,95060,Santa Cruz County,Santa Cruz,110 1st St,36.9647004,-122.0211105,2 Beds;1 Bath;1%078 sqft;Single Family Home;$204/sqft;5%010 sqft lot size;Built in 1924;County: Santa Cruz;Tax Rate Code Area: 1-032;4 Rooms;Units: 1;Land Use Code: Single Family Residential;,$1%196%059,09/06/1995:$220%000:Sold,Year:2018;Tax:$9%023;Assessment:;Land:$658%190;Improvements:$115%784;Total:$773%974,2 Beds,?,1%078 sqft,$204/sqft,Built in 1924
1,1,1,California,CA,95060,Santa Cruz County,Santa Cruz,218 1st St,36.964498,-122.022441,Condo;Lot Size: 1%830 sqft;Built in 1981;MLS/Source ID: 81110455;,$1%619%846,04/20/2011:$671%150:Posting Removed;04/10/2011:$671%150:Price Change:$36%975: (-5%);03/11/2011:$708%125:Listed For Sale;10/26/2010:$680%754:Sold,Year:2018;Tax:$9%048;Assessment:;Land:$230%827;Improvements:$546%103;Total:$776%930,?,?,?,?,Built in 1981
2,2,2,California,CA,95060,Santa Cruz County,Santa Cruz,108 2nd St,36.966186,-122.0192352,Multi Family;Lot Size: 0.32 acres;Built in 2007;,$836%020,07/13/2015:$7%110%000:Sold;01/28/2013:$5%999%999:Posting Removed;01/26/2013:$5%999%999:Listed For Sale;01/12/2013:$5%999%999:Posting Removed;12/07/2012:$5%999%999:Pending;06/22/2012:$5%999%999:Price Change:$250%001: (-4%);06/21/2012:$6%250%000:Listed For Sale,Year:2018;Tax:$85%271;Assessment:;Land:$2%080%800;Improvements:$5%316%444;Total:$7%397%244,?,?,?,?,Built in 2007
3,3,3,California,CA,95060,Santa Cruz County,Santa Cruz,409 2nd St,36.9649535,-122.0221441,6 Beds;4 Baths;4%136 sqft;Multi Family;$122/sqft;6%403 sqft lot size;Built in 1925;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Central;Parking: Garage;Parking Spaces: 3;Units: 4;Roof: Shingle (Not Wood);Land Use Code: Quadruplex (4 units% any combination);,$1%814%401,10/02/1998:$505%000:Sold,Year:2018;Tax:$15%804;Assessment:;Land:$738%684;Improvements:$624%240;Total:$1%362%924,6 Beds,4 Baths,4%136 sqft,$122/sqft,Built in 1925
4,4,4,California,CA,95060,Santa Cruz County,Santa Cruz,508 2nd St,36.9649722,-122.0232432,2 Beds;1 Bath;1%023 sqft;Single Family Home;$268/sqft;6%490 sqft lot size;Built in 1875;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Yes;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%084%157,05/20/1997:$274%500:Sold,Year:2018;Tax:$4%707;Assessment:;Land:$229%028;Improvements:$163%899;Total:$392%927,2 Beds,?,1%023 sqft,$268/sqft,Built in 1875
5,5,5,California,CA,95060,Santa Cruz County,Santa Cruz,515 2nd St,36.9644521,-122.0234985,Apartment Condo Townhouse;Lot Size: 0.37 acres;MLS/Source ID: 258402598;,$788%225,02/23/2013:$620%000:Posting Removed;02/09/2013:$620%000:Listed For Sale;10/10/2012:$748%000:Posting Removed;06/22/2012:$748%000:Listed For Sale;01/11/2012:$748%000:Posting Removed;12/24/2011:$748%000:Listed For Sale;12/23/2011:$748%000:Posting Removed;12/13/2011:$748%000:Listed For Sale;12/12/2011:$748%000:Posting Removed;11/10/2011:$748%000:Listed For Sale;10/25/2011:$748%000:Posting Removed;10/24/2011:$748%000:Listed For Sale;10/01/2011:$795%000:Posting Removed;09/17/2011:$795%000:Price Change:$47%000: (6%);09/01/2011:$748%000:Price Change:$47%000: (-6%);05/12/2011:$795%000:Listed For Sale;03/02/2011:$799%000:Posting Removed;01/11/2011:$799%000:Listed For Sale;06/03/2005:$995%000:Sold,Year:2011;Tax:;Assessment:;Land:$0;Improvements:$0;Total:$0,?,?,?,?,?
6,6,6,California,CA,95060,Santa Cruz County,Santa Cruz,515 2nd St #1A,38.8967138,-77.00322,Condo;Lot Size: 1%917 sqft;Built in 1979;MLS/Source ID: 81227702;,$846%638,04/14/2017:$1%129%000:Sold;09/04/2012:$679%000:Sold;09/01/2012:$729%000:Posting Removed;07/25/2012:$729%000:Listed For Sale;02/23/2001:$650%000:Sold,Year:2018;Tax:$12%914;Assessment:;Land:$690%948;Improvements:$460%632;Total:$1%151%580,?,?,?,?,Built in 1979
7,7,7,California,CA,95060,Santa Cruz County,Santa Cruz,526 2nd St,36.9648946,-122.0240981,Apartment Condo Townhouse;Lot Size: 0.44 acres;MLS/Source ID: 88607845;,$764%882,07/21/2009:$618%500:Sold,Year:2011;Tax:;Assessment:;Land:$0;Improvements:$0;Total:$0,?,?,?,?,?
8,8,8,California,CA,95060,Santa Cruz County,Santa Cruz,526 2nd St #102,36.9648946,-122.0240981,Condo;Lot Size: 1%481 sqft;Built in 1982;Skylight;Double Paned Windows;Security System;Roof: Composition Shingle;Waterfront;MLS/Source ID: ML81636082;,$806%930,02/14/2017:$770%000:Sold;02/11/2017:$779%000:Posting Removed;02/04/2017:$779%000:Posting Removed;02/02/2017:$779%000:Pending;01/19/2017:$779%000:Listed For Sale;12/10/2014:$575%000:Sold;11/16/2014:$575%000:Posting Removed;11/10/2014:$575%000:Pending;09/02/2014:$575%000:Listed For Sale;12/18/1998:$325%000:Sold,Year:2018;Tax:$9%142;Assessment:;Land:$471%240;Improvements:$314%160;Total:$785%400,?,?,?,?,Built in 1982
9,9,9,California,CA,95060,Santa Cruz County,Santa Cruz,526 2nd St #201,36.9648946,-122.0240981,Condo;Lot Size: 1%742 sqft;$669/monthly HOA;Built in 1982;6 Rooms;Rooms: Dining Room;Heating: Forced Air;Heating Fuel: Gas;Cooling System: Central;Washer;Dryer;Refrigerator;Microwave;Dishwasher;Disposal;Floors: Hardwood% Tile;Great Views;Fireplace;Parking: Attached Garage;Garage;Parking Spaces: 3;Elevator;Intercom;Cable Ready;Contemporary Architecture;Roof: Composition;Year Updated: 1982;Deck;Garden;MLS/Source ID: ML81720612;,$810%299,05/20/2019:$799%000:Posting Removed;04/28/2019:$799%000:Price Change:$10%000: (-1%);02/22/2019:$809%000:Posting Removed;01/16/2019:$809%000:Price Change:$20%000: (-2%);10/10/2018:$829%000:Price Change:$20%000: (-2%);09/24/2018:$849%000:Price Change:$20%000: (-2%);08/26/2018:$869%000:Listed For Sale;02/28/2018:$800%000:Sold;02/16/2018:$819%000:Posting Removed;02/04/2018:$819%000:Pending;01/31/2018:$819%000:Price Change:$30%000: (-4%);01/02/2018:$849%000:Listed For Sale;05/01/1997:$272%000:Sold,Year:2018;Tax:$4%659;Assessment:;Land:$194%674;Improvements:$194%674;Total:$389%348,?,?,?,?,Built in 1982
