,Unnamed: 0,State,State_Abr,Zip Code,County,City,Street,Lat,Lon,Features,Trulia Est,History Events,Property Events,Beds,Baths,Sqft,Price_Per_Sqft,Year Built
0,0,California,CA,95003,Santa Cruz County,Aptos,6107 Abbey Rd,36.987202,-121.93441,Townhouse;$244/sqft;Lot Size: 784 sqft;Built in 1980;180+ Days on Trulia;Heating: Gas;Vaulted Ceiling;MLS/Source ID: 81108400;,$596%124,09/19/2012:$280%000:Sold;05/31/2012:$290%000:Posting Removed;05/02/2012:$290%000:Listed For Sale;03/01/2012:$290%000:Posting Removed;01/18/2012:$290%000:Listed For Sale;09/01/2011:$303%000:Posting Removed;08/03/2011:$303%000:Listed For Sale;04/26/2011:$315%000:Posting Removed;02/26/2011:$315%000:Listed For Sale;02/14/2006:$505%000:Sold;06/09/2003:$400%000:Sold;03/06/2000:$270%000:Sold;04/26/1996:$167%000:Sold,Year:2018;Tax:$4%340;Assessment:;Land:$162%339;Improvements:$140%694;Total:$303%033,?,?,?,$244/sqft,Built in 1980
1,1,California,CA,95003,Santa Cruz County,Aptos,6109 Abbey Rd,36.987129,-121.934517,2 Beds;2.5 Baths;1%190 sqft;Townhouse;$203/sqft;784 sqft lot size;Built in 1981;County: Santa Cruz;Tax Rate Code Area: 96-101;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$592%074,04/23/1999:$242%000:Sold;04/08/1994:$167%000:Sold,Year:2018;Tax:$4%676;Assessment:;Land:$200%060;Improvements:$133%374;Total:$333%434,2 Beds,2.5 Baths,1%190 sqft,$203/sqft,Built in 1981
2,2,California,CA,95003,Santa Cruz County,Aptos,6111 Abbey Rd,36.987209,-121.934608,Townhouse;$306/sqft;Lot Size: 828 sqft;Built in 1981;Foundation Type: Concrete Slab;Roof: Composition;MLS/Source ID: ML81100857;,$565%000,03/01/2011:$295%000:Sold;01/28/2011:$319%000:Posting Removed;01/10/2011:$319%000:Listed For Sale;03/05/2004:$425%000:Sold;04/30/1999:$108%000:Sold,Year:2018;Tax:$4%658;Assessment:;Land:$199%096;Improvements:$132%732;Total:$331%828,?,?,?,$306/sqft,Built in 1981
3,3,California,CA,95003,Santa Cruz County,Aptos,6113 Abbey Rd,36.98724,-121.934631,2 Beds;2.5 Baths;1%190 sqft;Townhouse;$458/sqft;784 sqft lot size;Built in 1981;County: Santa Cruz;Tax Rate Code Area: 96-101;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$645%689,11/15/2005:$545%000:Sold;05/18/1999:$239%500:Sold;05/24/1994:$167%000:Sold,Year:2018;Tax:$7%216;Assessment:;Land:$342%001;Improvements:$227%999;Total:$570%000,2 Beds,2.5 Baths,1%190 sqft,$458/sqft,Built in 1981
4,4,California,CA,95003,Santa Cruz County,Aptos,6115 Abbey Rd,36.98704,-121.93477,2 Beds;2.5 Baths;1%190 sqft;Townhouse;$141/sqft;784 sqft lot size;Built in 1981;County: Santa Cruz;Tax Rate Code Area: 96-101;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$590%998,10/27/1994:$168%000:Sold,Year:2018;Tax:$3%653;Assessment:;Land:$124%005;Improvements:$124%005;Total:$248%010,2 Beds,2.5 Baths,1%190 sqft,$141/sqft,Built in 1981
5,5,California,CA,95003,Santa Cruz County,Aptos,6116 Abbey Rd,36.98706,-121.93352,3 Beds;2.5 Baths;2%476 sqft;Single Family Home;$143/sqft;6%142 sqft lot size;Built in 1989;County: Santa Cruz;Tax Rate Code Area: 96-101;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%137%642,08/08/1994:$355%000:Sold,Year:2018;Tax:$6%825;Assessment:;Land:$214%060;Improvements:$310%017;Total:$524%077,3 Beds,2.5 Baths,2%476 sqft,$143/sqft,Built in 1989
6,6,California,CA,95003,Santa Cruz County,Aptos,6117 Abbey Rd,36.98711,-121.93478,Townhouse;Lot Size: 828 sqft;Built in 1981;180+ Days on Trulia;MLS/Source ID: ML81585389;,$564%717,07/06/2016:$469%000:Posting Removed;07/06/2016:$490%000:Sold;05/27/2016:$469%000:Pending;05/17/2016:$469%000:Listed For Sale;03/11/2014:$300%000:Sold;07/26/1996:$159%000:Sold,Year:2018;Tax:$6%516;Assessment:;Land:$374%850;Improvements:$124%950;Total:$499%800,?,?,?,?,Built in 1981
7,7,California,CA,95003,Santa Cruz County,Aptos,6119 Abbey Rd,36.98718,-121.93479,2 Beds;1.5 Baths;1%044 sqft;Townhouse;$358/sqft;828 sqft lot size;Built in 1981;County: Santa Cruz;Tax Rate Code Area: 96-101;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$567%378,03/27/2003:$374%000:Sold,Year:2018;Tax:$6%250;Assessment:;Land:$285%410;Improvements:$190%273;Total:$475%683,2 Beds,1.5 Baths,1%044 sqft,$358/sqft,Built in 1981
8,8,California,CA,95003,Santa Cruz County,Aptos,6120 Abbey Rd,36.9871,-121.93372,Single Family Home;$288/sqft;Lot Size: 6%882 sqft;Built in 1986;180+ Days on Trulia;MLS/Source ID: 81021570;,$969%467,06/04/2010:$599%900:Posting Removed;05/28/2010:$600%000:Sold;05/05/2010:$599%900:Listed For Sale;04/13/2010:$600%066:Sold,Year:2018;Tax:$8%054;Assessment:;Land:$260%927;Improvements:$374%260;Total:$635%187,?,?,?,$288/sqft,Built in 1986
9,9,California,CA,95003,Santa Cruz County,Aptos,6121 Abbey Rd,36.98724,-121.9348,Townhouse;Lot Size: 784 sqft;Built in 1981;180+ Days on Trulia;,$658%028,05/19/2010:$300%000:Sold;08/19/2009:$430%283:Sold;02/28/2006:$525%000:Sold;03/23/2004:$460%000:Sold,Year:2018;Tax:$4%752;Assessment:;Land:$204%203;Improvements:$136%136;Total:$340%339,?,?,?,?,Built in 1981
