,Unnamed: 0,Zip Code,City,Street,Lat,Lon,Trulia Est,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Cluster
0,1,95003,0,6107 Abbey Rd,36.987128999999996,-121.934517,592074.0,2.0,2.5,1190.0,203.0,1981.0,3
1,3,95003,0,6109 Abbey Rd,36.98724,-121.93463100000001,645689.0,2.0,2.5,1190.0,458.0,1981.0,3
2,4,95003,0,6111 Abbey Rd,36.98704,-121.93477,590998.0,2.0,2.5,1190.0,141.0,1981.0,3
3,5,95003,0,6113 Abbey Rd,36.98706,-121.93352,1137642.0,3.0,2.5,2476.0,143.0,1989.0,5
4,7,95003,0,6115 Abbey Rd,36.98718,-121.93478999999999,567378.0,2.0,1.5,1044.0,358.0,1981.0,3
5,12,95003,0,6116 Abbey Rd,36.96976,-121.88485,771092.0,3.0,2.0,1226.0,186.0,1984.0,3
6,13,95003,0,6117 Abbey Rd,36.96992,-121.88458,1173832.0,4.0,3.0,2196.0,124.0,1965.0,5
7,14,95003,0,6119 Abbey Rd,36.969879999999996,-121.88394,764084.0,2.0,2.0,1271.0,279.0,1938.0,3
8,18,95003,0,6120 Abbey Rd,36.98062,-121.88618999999998,752121.0,3.0,2.0,1251.0,181.0,1963.0,3
9,22,95003,0,6121 Abbey Rd,36.98016,-121.88602,828219.0,4.0,2.0,1527.0,356.0,1963.0,3
10,27,95003,0,6125 Abbey Rd,36.9802,-121.8844,1104524.0,3.0,2.0,2208.0,165.0,1975.0,5
11,34,95003,0,130 Acacia Woods Ct,36.97222,-121.87041,515380.0,3.0,2.0,1208.0,186.0,1976.0,3
12,35,95003,0,509 Alta Dr,36.97204,-121.87031,528155.0,3.0,2.0,1637.0,323.0,2003.0,3
13,38,95003,0,511 Alta Dr,36.971759999999996,-121.87007,509365.0,2.0,2.0,1452.0,220.0,1977.0,3
14,40,95003,0,512 Alta Dr,36.989442,-121.859223,766865.0,3.0,2.0,1839.0,316.0,1959.0,3
15,44,95003,0,514 Alta Dr,36.989185,-121.856362,1212160.0,3.0,3.0,3042.0,345.0,1973.0,5
16,46,95003,0,180 Alta Mira Ct,36.966822,-121.896551,1033931.0,3.0,2.0,1563.0,399.0,1963.0,0
17,47,95003,0,190 Alta Mira Ct,36.966881,-121.896491,1194074.0,4.0,2.0,1867.0,339.0,1964.0,5
18,50,95003,0,121 Alta Verdi Dr,36.967074,-121.89656200000002,1211570.0,4.0,2.5,2143.0,201.0,1997.0,5
19,51,95003,0,124 Alta Verdi Dr,36.966999,-121.896372,1108913.0,3.0,1.5,1872.0,294.0,1966.0,5
20,53,95003,0,131 Alta Verdi Dr,36.967029,-121.89634199999999,1007842.0,3.0,2.0,1499.0,364.0,1973.0,0
21,54,95003,0,134 Alta Verdi Dr,36.967163,-121.896472,940933.0,3.0,2.0,1248.0,197.0,1964.0,0
22,59,95003,0,141 Alta Verdi Dr,36.972059,-121.897504,894160.0,3.0,2.0,1392.0,197.0,1967.0,0
23,60,95003,0,144 Alta Verdi Dr,36.972059,-121.897504,934110.0,2.0,2.0,1364.0,495.0,1968.0,0
24,62,95003,0,156 Alta Verdi Dr,36.972059,-121.897504,837781.0,3.0,2.0,1146.0,330.0,1966.0,3
25,63,95003,0,182 Alta Verdi Dr,36.972059,-121.897504,1020609.0,4.0,2.0,1644.0,462.0,1955.0,0
26,69,95003,0,227 Alta Verdi Dr,36.972059,-121.897504,924558.0,3.0,2.0,1504.0,310.0,1986.0,0
27,74,95003,0,230 Alta Verdi Dr,36.972059,-121.897504,1074686.0,3.0,2.5,1636.0,249.0,1963.0,5
28,81,95003,0,100 Angora Ln,36.972059,-121.897504,1050120.0,2.0,2.0,1605.0,169.0,1980.0,0
29,82,95003,0,102 Angora Ln,36.972059,-121.897504,971326.0,3.0,2.0,1594.0,464.0,1979.0,0
30,84,95003,0,104 Angora Ln,36.972059,-121.897504,852517.0,3.0,2.0,1100.0,460.0,1962.0,0
31,85,95003,0,106 Angora Ln,36.972059,-121.897504,883810.0,3.0,2.0,1306.0,206.0,1967.0,0
32,86,95003,0,162 Anita Ave,36.972059,-121.897504,1065345.0,3.0,2.0,1880.0,221.0,1969.0,0
33,87,95003,0,163 Anita Ave,36.972059,-121.897504,1025993.0,3.0,2.0,2385.0,130.0,1964.0,0
34,89,95003,0,164 Anita Ave,36.972059,-121.897504,1233134.0,3.0,3.0,2221.0,388.0,2000.0,5
35,92,95003,0,165 Anita Ave,37.00258,-121.90673999999999,1444304.0,4.0,3.5,2831.0,371.0,1978.0,1
36,95,95003,0,166 Anita Ave,36.98344,-121.9121,665591.0,3.0,2.5,1362.0,279.0,1986.0,3
37,96,95003,0,167 Anita Ave,36.98364,-121.91193999999999,789631.0,3.0,2.5,1362.0,136.0,1987.0,3
38,98,95003,0,168 Anita Ave,36.983990000000006,-121.91166000000001,862789.0,3.0,2.5,1699.0,356.0,1987.0,0
39,100,95003,0,169 Anita Ave,36.98263,-121.88696999999999,851172.0,3.0,2.0,1698.0,108.0,1963.0,0
40,105,95003,0,110 Apple Ln,36.979690000000005,-121.90638999999999,887747.0,3.0,2.5,1785.0,297.0,1999.0,0
41,107,95003,0,125 Apple Ln,36.97974,-121.90635,887763.0,3.0,2.5,1785.0,207.0,1999.0,0
42,108,95003,0,127 Apple Ln,36.98048,-121.90641000000001,1193693.0,3.0,2.5,2498.0,253.0,1997.0,5
43,110,95003,0,220 Apple Ln,36.98001,-121.90615,887861.0,3.0,2.5,1785.0,289.0,1999.0,0
44,111,95003,0,300 Apple Ln,36.98016,-121.90618,889601.0,3.0,2.5,1785.0,202.0,1999.0,0
45,112,95003,0,201 Appleton Dr,36.98019,-121.90615,887876.0,3.0,2.5,1785.0,196.0,1998.0,0
46,115,95003,0,202 Appleton Dr,36.977779999999996,-121.89323,908453.0,3.0,2.0,1688.0,421.0,1965.0,0
47,116,95003,0,206 Appleton Dr,36.9774,-121.89321000000001,962420.0,4.0,2.5,2077.0,128.0,1973.0,0
48,120,95003,0,209 Appleton Dr,37.034259999999996,-121.86378,1392489.0,2.0,1.5,2589.0,232.0,1980.0,1
49,123,95003,0,212 Appleton Dr,36.98261,-121.90992,1173434.0,3.0,2.0,2296.0,172.0,1963.0,5
50,124,95003,0,213 Appleton Dr,36.98237,-121.90948,994732.0,3.0,2.5,1866.0,445.0,1961.0,0
51,131,95003,0,214 Appleton Dr,36.981429999999996,-121.9081,1034849.0,3.0,2.0,2024.0,383.0,1958.0,0
52,132,95003,0,215 Appleton Dr,36.98125,-121.90848000000001,783899.0,2.0,2.0,1334.0,225.0,1962.0,3
53,133,95003,0,216 Appleton Dr,36.98776,-121.93113,654536.0,2.0,2.0,1385.0,412.0,1987.0,3
54,145,95003,0,219 Appleton Dr,36.98812,-121.93164,636976.0,2.0,2.0,1233.0,202.0,1984.0,3
55,146,95003,0,221 Appleton Dr,36.98816,-121.93194,665924.0,3.0,2.5,1725.0,256.0,1984.0,3
56,147,95003,0,121 Aptos Beach Dr,36.98822,-121.93192,665728.0,3.0,2.5,1725.0,266.0,1985.0,3
57,148,95003,0,126 Aptos Beach Dr,36.98825,-121.93159,635501.0,2.0,2.0,1233.0,353.0,1984.0,3
58,155,95003,0,127 Aptos Beach Dr,36.98865,-121.93182,666942.0,3.0,2.5,1725.0,177.0,1984.0,3
59,157,95003,0,200 Aptos Beach Dr,36.98896,-121.93167,646068.0,2.0,2.0,1233.0,418.0,1984.0,3
60,159,95003,0,203 Aptos Beach Dr,36.9891,-121.93171,666593.0,3.0,2.5,1725.0,252.0,1984.0,3
61,161,95003,0,204 Aptos Beach Dr,36.98923,-121.93171,666584.0,3.0,2.5,1725.0,253.0,1984.0,3
62,162,95003,0,206 Aptos Beach Dr,36.9893,-121.93169,646668.0,2.0,2.0,1230.0,175.0,1984.0,3
63,165,95003,0,210 Aptos Beach Dr,36.98945,-121.93138,670576.0,2.0,2.5,1754.0,302.0,1984.0,3
64,167,95003,0,213 Aptos Beach Dr,36.98956,-121.93168,670339.0,3.0,2.5,1605.0,293.0,1982.0,3
65,169,95003,0,219 Aptos Beach Dr,36.98963,-121.93167,670564.0,3.0,2.5,1605.0,148.0,1982.0,3
66,170,95003,0,220 Aptos Beach Dr,36.98964,-121.93133,687000.0,2.0,3.0,1754.0,392.0,1982.0,3
67,171,95003,0,222 Aptos Beach Dr,36.98969,-121.93165,670594.0,3.0,2.5,1605.0,327.0,1982.0,3
68,172,95003,0,223 Aptos Beach Dr,36.98971,-121.93134,643635.0,2.0,2.0,1084.0,112.0,1982.0,3
69,178,95003,0,225 Aptos Beach Dr,36.98987,-121.93127,670373.0,3.0,2.5,1605.0,327.0,1982.0,3
70,180,95003,0,227 Aptos Beach Dr,36.98984,-121.9312,670610.0,3.0,2.5,1605.0,237.0,1982.0,3
71,183,95003,0,229 Aptos Beach Dr,36.98981,-121.93104,670429.0,3.0,2.5,1605.0,355.0,1982.0,3
72,185,95003,0,231 Aptos Beach Dr,36.98979,-121.93096,671034.0,3.0,2.5,1605.0,264.0,1982.0,3
73,187,95003,0,232 Aptos Beach Dr,36.95839,-121.87511,1367978.0,4.0,2.0,2829.0,134.0,1982.0,1
74,188,95003,0,235 Aptos Beach Dr,36.95869,-121.87496000000002,1367069.0,3.0,2.5,2991.0,234.0,1981.0,1
75,189,95003,0,237 Aptos Beach Dr,36.95906,-121.87475,1395196.0,4.0,3.0,3028.0,594.0,1981.0,1
76,190,95003,0,241 Aptos Beach Dr,36.96718,-121.89179,1036752.0,3.0,2.0,1594.0,210.0,1962.0,0
77,191,95003,0,244 Aptos Beach Dr,36.96681,-121.89181,1121657.0,3.0,2.0,2091.0,383.0,1979.0,5
78,199,95003,0,247 Aptos Beach Dr,36.96712,-121.89096,918318.0,3.0,2.0,1304.0,161.0,1958.0,0
79,200,95003,0,248 Aptos Beach Dr,36.96685,-121.89045,1222759.0,3.0,2.0,2370.0,194.0,1975.0,5
80,206,95003,0,249 Aptos Beach Dr,36.96775,-121.89064,913553.0,3.0,2.0,1320.0,189.0,1963.0,0
81,207,95003,0,250 Aptos Beach Dr,36.96788,-121.89057,1050870.0,3.0,2.0,1790.0,313.0,1968.0,0
82,212,95003,0,252 Aptos Beach Dr,36.96826,-121.89038,914841.0,3.0,2.0,1451.0,482.0,1961.0,0
83,213,95003,0,253 Aptos Beach Dr,36.96811,-121.88977,969217.0,3.0,2.0,1695.0,342.0,1978.0,0
84,214,95003,0,257 Aptos Beach Dr,36.96839,-121.89032,922893.0,3.0,2.0,1508.0,332.0,1970.0,0
85,220,95003,0,259 Aptos Beach Dr,36.9877,-121.93074,835150.0,3.0,2.5,1634.0,404.0,2004.0,3
86,226,95003,0,261 Aptos Beach Dr,36.98844,-121.93057,928492.0,3.0,2.5,1836.0,389.0,2004.0,0
87,229,95003,0,265 Aptos Beach Dr,36.98982,-121.93045,681604.0,3.0,2.5,1558.0,417.0,2009.0,3
88,230,95003,0,268 Aptos Beach Dr,36.99013,-121.93037,775559.0,3.0,2.5,1394.0,179.0,2009.0,3
89,231,95003,0,269 Aptos Beach Dr,36.98982,-121.93037,675806.0,2.0,2.5,1104.0,199.0,2009.0,3
90,232,95003,0,484 Aptos Creek Rd,36.9901,-121.93023,872981.0,3.0,2.5,1525.0,419.0,2009.0,0
91,236,95003,0,505 Aptos Creek Rd,36.99005,-121.93001,782710.0,3.0,2.5,1377.0,181.0,2009.0,3
92,247,95003,0,1695 Aptos Creek Rd,36.9894,-121.93008,668719.0,2.0,2.5,1354.0,290.0,2012.0,3
93,248,95003,0,3050 Aptos Hill Ln,36.98954000000001,-121.93046,886534.0,3.0,2.5,2025.0,259.0,2013.0,0
94,249,95003,0,3052 Aptos Hill Ln,36.98934000000001,-121.93009,674360.0,3.0,2.5,1394.0,352.0,2012.0,3
95,251,95003,0,3054 Aptos Hill Ln,36.98922,-121.93009,886325.0,3.0,2.5,1991.0,272.0,2012.0,0
96,252,95003,0,3058 Aptos Hill Ln,36.98938,-121.93046,668721.0,2.0,2.5,1354.0,291.0,2013.0,3
97,254,95003,0,3062 Aptos Hill Ln,36.98932,-121.93048,911736.0,3.0,2.5,1866.0,199.0,2013.0,0
98,256,95003,0,3064 Aptos Hill Ln,36.98921,-121.93049,865078.0,3.0,2.5,1866.0,280.0,2013.0,0
99,259,95003,0,3066 Aptos Hill Ln,36.9888,-121.93013,883866.0,3.0,2.5,1991.0,271.0,2013.0,0
100,260,95003,0,146 Aptos Hts,36.98909,-121.93051,886001.0,3.0,2.5,2025.0,251.0,2013.0,0
101,261,95003,0,230 Aptos Hts,36.98875,-121.9302,739862.0,2.0,2.5,1853.0,285.0,2013.0,3
102,262,95003,0,265 Aptos Hts,36.98871,-121.93023,657238.0,2.0,2.0,1311.0,309.0,2013.0,3
103,263,95003,0,290 Aptos Hts,36.98866,-121.93028,856504.0,3.0,2.5,1843.0,288.0,2013.0,0
104,265,95003,0,3357 Aptos Rancho Rd,36.98862,-121.93047,884272.0,3.0,2.5,2025.0,268.0,2013.0,0
105,266,95003,0,3360 Aptos Rancho Rd,36.98891,-121.9305,665214.0,2.0,2.5,1354.0,327.0,2013.0,3
106,267,95003,0,3361 Aptos Rancho Rd,36.98863,-121.93055,706809.0,2.0,2.5,1354.0,244.0,2013.0,3
107,270,95003,0,3362 Aptos Rancho Rd,36.97181,-121.89153,983280.0,3.0,2.0,1698.0,247.0,1998.0,0
108,272,95003,0,3365 Aptos Rancho Rd,36.9717,-121.89171,1183100.0,4.0,2.5,2266.0,254.0,1998.0,5
109,276,95003,0,3366 Aptos Rancho Rd,36.97149,-121.89206,1182574.0,4.0,2.5,2230.0,215.0,1998.0,5
110,279,95003,0,3368 Aptos Rancho Rd,36.97139,-121.89277,1183406.0,4.0,2.5,2292.0,183.0,1998.0,5
111,280,95003,0,3370 Aptos Rancho Rd,36.97141,-121.89298,1245187.0,4.0,3.0,2514.0,302.0,1999.0,5
112,281,95003,0,3372 Aptos Rancho Rd,36.97188,-121.89297,1183168.0,4.0,2.5,2246.0,309.0,1999.0,5
113,285,95003,0,156 Aptos School Rd,36.97223,-121.89298,1183252.0,4.0,2.5,2251.0,181.0,1999.0,5
114,287,95003,0,227 Aptos School Rd,36.9724,-121.89298,1225872.0,4.0,2.5,2544.0,181.0,1999.0,5
115,289,95003,0,229 Aptos School Rd,36.97256,-121.89298,1183104.0,4.0,2.5,2251.0,207.0,1999.0,5
116,290,95003,0,263 Aptos School Rd,36.97273,-121.89296000000002,974386.0,3.0,2.0,1698.0,212.0,1999.0,0
117,292,95003,0,8063 Aptos St,36.98363,-121.88377,840900.0,3.0,2.0,1777.0,132.0,1984.0,3
118,295,95003,0,8067 Aptos St,36.9853,-121.88273,983305.0,3.0,2.0,1784.0,457.0,1988.0,0
119,296,95003,0,5921 Aptos View Rd,36.98486,-121.88164,976955.0,3.0,3.0,2096.0,281.0,1989.0,0
120,305,95003,0,7000 Aptos View Rd,36.96574,-121.89385,1084432.0,3.0,2.0,1354.0,220.0,1975.0,5
121,307,95003,0,7130 Aptos View Rd,36.96617,-121.89407,1075930.0,3.0,2.0,1589.0,354.0,1973.0,5
122,308,95003,0,125 Aptos Wharf Rd,36.96602,-121.89347,1159457.0,3.0,2.0,1831.0,423.0,1973.0,5
123,311,95003,0,7546 Arden Way,36.96623,-121.89321,1004648.0,3.0,2.0,1392.0,381.0,1964.0,0
124,317,95003,0,7552 Arden Way,36.96246,-121.87848,1203867.0,4.0,3.0,1939.0,157.0,1960.0,5
125,318,95003,0,7553 Arden Way,36.96215,-121.87849,1205438.0,3.0,3.0,2027.0,363.0,1961.0,5
126,319,95003,0,7555 Arden Way,36.96186,-121.87864,1365392.0,4.0,3.0,3336.0,360.0,1969.0,1
127,322,95003,0,7559 Arden Way,36.96088,-121.87988,1152947.0,4.0,2.0,1800.0,258.0,1962.0,5
128,326,95003,0,7562 Arden Way,36.96074,-121.88965,1530736.0,3.0,2.0,1976.0,162.0,1974.0,1
129,330,95003,0,7565 Arden Way,36.96548,-121.899,1268336.0,4.0,2.0,1838.0,598.0,1940.0,5
130,333,95003,0,7570 Arden Way,36.97126,-121.89532,1002805.0,3.0,2.0,1629.0,488.0,1970.0,0
