,Zip Code,City,Street,Lat,Lon,Trulia Est,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Cluster
1,95003,0,1010,36.987129,-121.934517,592074.0,2.0,2.5,1190.0,203.0,1981.0,3
3,95003,0,1014,36.98724,-121.934631,645689.0,2.0,2.5,1190.0,458.0,1981.0,3
4,95003,0,1015,36.98704,-121.93477,590998.0,2.0,2.5,1190.0,141.0,1981.0,3
5,95003,0,1016,36.98706,-121.93352,1137642.0,3.0,2.5,2476.0,143.0,1989.0,5
7,95003,0,1017,36.98718,-121.93479,567378.0,2.0,1.5,1044.0,358.0,1981.0,3
12,95003,0,893,36.96976,-121.88485,771092.0,3.0,2.0,1226.0,186.0,1984.0,3
13,95003,0,905,36.96992,-121.88458,1173832.0,4.0,3.0,2196.0,124.0,1965.0,5
14,95003,0,908,36.96988,-121.88394,764084.0,2.0,2.0,1271.0,279.0,1938.0,3
18,95003,0,94,36.98062,-121.88619,752121.0,3.0,2.0,1251.0,181.0,1963.0,3
22,95003,0,168,36.98016,-121.88602,828219.0,4.0,2.0,1527.0,356.0,1963.0,3
27,95003,0,476,36.9802,-121.8844,1104524.0,3.0,2.0,2208.0,165.0,1975.0,5
34,95003,0,242,36.97222,-121.87041,515380.0,3.0,2.0,1208.0,186.0,1976.0,3
35,95003,0,243,36.97204,-121.87031,528155.0,3.0,2.0,1637.0,323.0,2003.0,3
38,95003,0,253,36.97176,-121.87007,509365.0,2.0,2.0,1452.0,220.0,1977.0,3
40,95003,0,46,36.989442,-121.859223,766865.0,3.0,2.0,1839.0,316.0,1959.0,3
44,95003,0,593,36.989185,-121.856362,1212160.0,3.0,3.0,3042.0,345.0,1973.0,5
46,95003,0,345,36.966822,-121.896551,1033931.0,3.0,2.0,1563.0,399.0,1963.0,0
47,95003,0,364,36.966881,-121.896491,1194074.0,4.0,2.0,1867.0,339.0,1964.0,5
50,95003,0,403,36.967074,-121.896562,1211570.0,4.0,2.5,2143.0,201.0,1997.0,5
51,95003,0,409,36.966999,-121.896372,1108913.0,3.0,1.5,1872.0,294.0,1966.0,5
53,95003,0,420,36.967029,-121.896342,1007842.0,3.0,2.0,1499.0,364.0,1973.0,0
54,95003,0,437,36.967163,-121.896472,940933.0,3.0,2.0,1248.0,197.0,1964.0,0
59,95003,0,335,36.972059,-121.897504,894160.0,3.0,2.0,1392.0,197.0,1967.0,0
60,95003,0,352,36.972059,-121.897504,934110.0,2.0,2.0,1364.0,495.0,1968.0,0
62,95003,0,365,36.972059,-121.897504,837781.0,3.0,2.0,1146.0,330.0,1966.0,3
63,95003,0,386,36.972059,-121.897504,1020609.0,4.0,2.0,1644.0,462.0,1955.0,0
69,95003,0,457,36.972059,-121.897504,924558.0,3.0,2.0,1504.0,310.0,1986.0,0
74,95003,0,491,36.972059,-121.897504,1074686.0,3.0,2.5,1636.0,249.0,1963.0,5
81,95003,0,514,36.972059,-121.897504,1050120.0,2.0,2.0,1605.0,169.0,1980.0,0
82,95003,0,520,36.972059,-121.897504,971326.0,3.0,2.0,1594.0,464.0,1979.0,0
84,95003,0,526,36.972059,-121.897504,852517.0,3.0,2.0,1100.0,460.0,1962.0,0
85,95003,0,530,36.972059,-121.897504,883810.0,3.0,2.0,1306.0,206.0,1967.0,0
86,95003,0,536,36.972059,-121.897504,1065345.0,3.0,2.0,1880.0,221.0,1969.0,0
87,95003,0,541,36.972059,-121.897504,1025993.0,3.0,2.0,2385.0,130.0,1964.0,0
89,95003,0,545,36.972059,-121.897504,1233134.0,3.0,3.0,2221.0,388.0,2000.0,5
92,95003,0,257,37.00258,-121.90674,1444304.0,4.0,3.5,2831.0,371.0,1978.0,1
95,95003,0,618,36.98344,-121.9121,665591.0,3.0,2.5,1362.0,279.0,1986.0,3
96,95003,0,621,36.98364,-121.91194,789631.0,3.0,2.5,1362.0,136.0,1987.0,3
98,95003,0,629,36.98399,-121.91166,862789.0,3.0,2.5,1699.0,356.0,1987.0,0
100,95003,0,184,36.98263,-121.88697,851172.0,3.0,2.0,1698.0,108.0,1963.0,0
105,95003,0,713,36.97969,-121.90639,887747.0,3.0,2.5,1785.0,297.0,1999.0,0
107,95003,0,714,36.97974,-121.90635,887763.0,3.0,2.5,1785.0,207.0,1999.0,0
108,95003,0,715,36.98048,-121.90641,1193693.0,3.0,2.5,2498.0,253.0,1997.0,5
110,95003,0,716,36.98001,-121.90615,887861.0,3.0,2.5,1785.0,289.0,1999.0,0
111,95003,0,718,36.98016,-121.90618,889601.0,3.0,2.5,1785.0,202.0,1999.0,0
112,95003,0,719,36.98019,-121.90615,887876.0,3.0,2.5,1785.0,196.0,1998.0,0
115,95003,0,469,36.97778,-121.89323,908453.0,3.0,2.0,1688.0,421.0,1965.0,0
116,95003,0,538,36.9774,-121.89321,962420.0,4.0,2.5,2077.0,128.0,1973.0,0
120,95003,0,1075,37.03426,-121.86378,1392489.0,2.0,1.5,2589.0,232.0,1980.0,1
123,95003,0,1130,36.98261,-121.90992,1173434.0,3.0,2.0,2296.0,172.0,1963.0,5
124,95003,0,1132,36.98237,-121.90948,994732.0,3.0,2.5,1866.0,445.0,1961.0,0
131,95003,0,1133,36.98143,-121.9081,1034849.0,3.0,2.0,2024.0,383.0,1958.0,0
132,95003,0,1134,36.98125,-121.90848,783899.0,2.0,2.0,1334.0,225.0,1962.0,3
133,95003,0,595,36.987759999999994,-121.93113000000001,654536.0,2.0,2.0,1385.0,412.0,1987.0,3
145,95003,0,599,36.98812,-121.93163999999999,636976.0,2.0,2.0,1233.0,202.0,1984.0,3
146,95003,0,600,36.98816,-121.93194,665924.0,3.0,2.5,1725.0,256.0,1984.0,3
147,95003,0,602,36.98822,-121.93191999999999,665728.0,3.0,2.5,1725.0,266.0,1985.0,3
148,95003,0,603,36.98825,-121.93158999999999,635501.0,2.0,2.0,1233.0,353.0,1984.0,3
155,95003,0,608,36.98865,-121.93182,666942.0,3.0,2.5,1725.0,177.0,1984.0,3
157,95003,0,611,36.98896,-121.93167,646068.0,2.0,2.0,1233.0,418.0,1984.0,3
159,95003,0,612,36.9891,-121.93171000000001,666593.0,3.0,2.5,1725.0,252.0,1984.0,3
161,95003,0,613,36.98923,-121.93171000000001,666584.0,3.0,2.5,1725.0,253.0,1984.0,3
162,95003,0,617,36.9893,-121.93168999999999,646668.0,2.0,2.0,1230.0,175.0,1984.0,3
