,City,Lat,Lon,Street,Trulia Est,Zip Code,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Heating Type,Parking Spots
1,0,36.987129,-121.934517,6109 Abbey Rd,592074,95003,2,2.5,1190,203,1981,0,1
3,0,36.98724,-121.934631,6113 Abbey Rd,645689,95003,2,2.5,1190,458,1981,0,1
5,0,36.98706,-121.93352,6116 Abbey Rd,1137642,95003,3,2.5,2476,143,1989,0,2
7,0,36.98718,-121.93479,6119 Abbey Rd,567378,95003,2,1.5,1044,358,1981,0,1
12,0,36.96976,-121.88485,509 Alta Dr,771092,95003,3,2.0,1226,186,1984,0,1
13,0,36.96992,-121.88458,511 Alta Dr,1173832,95003,4,3.0,2196,124,1965,0,2
14,0,36.96988,-121.88394,512 Alta Dr,764084,95003,2,2.0,1271,279,1938,0,1
18,0,36.98062,-121.88619,121 Alta Verdi Dr,752121,95003,3,2.0,1251,181,1963,1,1
22,0,36.98016,-121.88602,141 Alta Verdi Dr,828219,95003,4,2.0,1527,356,1963,0,2
27,0,36.9802,-121.8844,230 Alta Verdi Dr,1104524,95003,3,2.0,2208,165,1975,0,2
35,0,36.97204,-121.87031,165 Anita Ave,528155,95003,3,2.0,1637,323,2003,0,2
38,0,36.97176,-121.87007,168 Anita Ave,509365,95003,2,2.0,1452,220,1977,0,2
40,0,36.989442,-121.859223,110 Apple Ln,766865,95003,3,2.0,1839,316,1959,0,1
44,0,36.989185,-121.856362,300 Apple Ln,1212160,95003,3,3.0,3042,345,1973,0,2
46,0,36.966822,-121.896551,202 Appleton Dr,1033931,95003,3,2.0,1563,399,1963,0,2
50,0,36.967074,-121.896562,213 Appleton Dr,1211570,95003,4,2.5,2143,201,1997,0,2
51,0,36.966999,-121.896372,214 Appleton Dr,1108913,95003,3,1.5,1872,294,1966,0,2
53,0,36.967029,-121.896342,216 Appleton Dr,1007842,95003,3,2.0,1499,364,1973,0,2
54,0,36.967163,-121.896472,219 Appleton Dr,940933,95003,3,2.0,1248,197,1964,0,2
63,0,36.972059,-121.897504,210 Aptos Beach Dr,1020609,95003,4,2.0,1644,462,1955,0,1
74,0,36.972059,-121.897504,235 Aptos Beach Dr,1074686,95003,3,2.5,1636,249,1963,0,3
81,0,36.972059,-121.897504,250 Aptos Beach Dr,1050120,95003,2,2.0,1605,169,1980,0,2
82,0,36.972059,-121.897504,252 Aptos Beach Dr,971326,95003,3,2.0,1594,464,1979,0,2
84,0,36.972059,-121.897504,257 Aptos Beach Dr,852517,95003,3,2.0,1100,460,1962,1,1
85,0,36.972059,-121.897504,259 Aptos Beach Dr,883810,95003,3,2.0,1306,206,1967,0,1
86,0,36.972059,-121.897504,261 Aptos Beach Dr,1065345,95003,3,2.0,1880,221,1969,0,2
87,0,36.972059,-121.897504,265 Aptos Beach Dr,1025993,95003,3,2.0,2385,130,1964,0,2
89,0,36.972059,-121.897504,269 Aptos Beach Dr,1233134,95003,3,3.0,2221,388,2000,0,2
92,0,37.00258,-121.90674,1695 Aptos Creek Rd,1444304,95003,4,3.5,2831,371,1978,3,2
96,0,36.98364,-121.91194,3058 Aptos Hill Ln,789631,95003,3,2.5,1362,136,1987,0,1
98,0,36.98399,-121.91166,3064 Aptos Hill Ln,862789,95003,3,2.5,1699,356,1987,0,2
100,0,36.98263,-121.88697,146 Aptos Hts,851172,95003,3,2.0,1698,108,1963,0,2
105,0,36.97969,-121.90639,3360 Aptos Rancho Rd,887747,95003,3,2.5,1785,297,1999,0,2
107,0,36.97974,-121.90635,3362 Aptos Rancho Rd,887763,95003,3,2.5,1785,207,1999,0,2
108,0,36.98048,-121.90641,3365 Aptos Rancho Rd,1193693,95003,3,2.5,2498,253,1997,0,2
110,0,36.98001,-121.90615,3368 Aptos Rancho Rd,887861,95003,3,2.5,1785,289,1999,0,2
111,0,36.98016,-121.90618,3370 Aptos Rancho Rd,889601,95003,3,2.5,1785,202,1999,0,2
112,0,36.98019,-121.90615,3372 Aptos Rancho Rd,887876,95003,3,2.5,1785,196,1998,0,2
115,0,36.97778,-121.89323,229 Aptos School Rd,908453,95003,3,2.0,1688,421,1965,0,2
116,0,36.9774,-121.89321,263 Aptos School Rd,962420,95003,4,2.5,2077,128,1973,0,2
120,0,37.03426,-121.86378,7000 Aptos View Rd,1392489,95003,2,1.5,2589,232,1980,0,1
123,0,36.98261,-121.90992,7546 Arden Way,1173434,95003,3,2.0,2296,172,1963,0,2
124,0,36.98237,-121.90948,7552 Arden Way,994732,95003,3,2.5,1866,445,1961,0,2
131,0,36.98143,-121.9081,7585 Arden Way,1034849,95003,3,2.0,2024,383,1958,0,1
133,0,36.987759999999994,-121.93113000000001,3001 Arlington Dr,654536,95003,2,2.0,1385,412,1987,0,2
147,0,36.98822,-121.93191999999999,3025 Arlington Dr,665728,95003,3,2.5,1725,266,1985,0,2
148,0,36.98825,-121.93158999999999,3026 Arlington Dr,635501,95003,2,2.0,1233,353,1984,0,2
167,0,36.98956,-121.93168,3057 Arlington Dr,670339,95003,3,2.5,1605,293,1982,0,2
170,0,36.98964,-121.93133,3060 Arlington Dr,687000,95003,2,3.0,1754,392,1982,0,2
171,0,36.98969,-121.93165,3061 Arlington Dr,670594,95003,3,2.5,1605,327,1982,0,2
178,0,36.98987,-121.93127,3074 Arlington Dr,670373,95003,3,2.5,1605,327,1982,0,2
180,0,36.98984,-121.9312,3076 Arlington Dr,670610,95003,3,2.5,1605,237,1982,0,2
183,0,36.98981,-121.93104,3080 Arlington Dr,670429,95003,3,2.5,1605,355,1982,0,2
